   133 | ARROYO CHANACITO                                                                    | 1649 |            1
   134 | ARROYO CHILENO                                                                      | 1649 |            1
   135 | ARROYO CHIQUERITO                                                                   | 1649 |            1
   136 | ARROYO CHIQUERO                                                                     | 1649 |            1
   137 | ARROYO CHIVICO                                                                      | 1649 |            1
   138 | ARROYO CHURRASCO                                                                    | 1649 |            1
   139 | ARROYO CIEGO                                                                        | 1649 |            1
   140 | ARROYO CIEGO DEL ESTUDIANTE                                                         | 1649 |            1
   141 | ARROYO CIEGUITO                                                                     | 1649 |            1
   142 | ARROYO CIERVO                                                                       | 1649 |            1
   143 | ARROYO CONCEPCION                                                                   | 1649 |            1
   144 | ARROYO CONFITERITO PALMAS                                                           | 1649 |            1
   145 | ARROYO CONFITERO                                                                    | 1649 |            1
   146 | ARROYO CORREA                                                                       | 1649 |            1
   147 | ARROYO CORRENTINO                                                                   | 1649 |            1
   148 | ARROYO CORRENTOSO (BARCA GRANDE)                                                    | 1649 |            1
   149 | ARROYO CORTO (PDO. SAAVEDRA)                                                        | 8172 |            1
   150 | ARROYO CORTO (TIGRE-PDO. CAMPANA)                                                   | 1649 |            1
   151 | ARROYO CRUCES                                                                       | 1649 |            1
   152 | ARROYO CRUZ COLORADA                                                                | 1649 |            1
   153 | ARROYO CRUZ DEL CAMBADO                                                             | 1649 |            1
   154 | ARROYO CRUZ DEL SAUCE                                                               | 1649 |            1
   155 | ARROYO CUARENTA                                                                     | 1649 |            1
   156 | ARROYO CUEVAS MALAS                                                                 | 1649 |            1
   157 | ARROYO CURUBICA                                                                     | 1649 |            1
   158 | ARROYO DE LA CRUZ                                                                   | 2812 |            1
   159 | ARROYO DE LAS GAVIOTAS                                                              | 1649 |            1
   160 | ARROYO DE LOS HUESOS                                                                | 7301 |            1
   161 | ARROYO DE LOS NOGALES                                                               | 1649 |            1
   162 | ARROYO DE LOS TIGRES                                                                | 1649 |            1
   163 | ARROYO DE LUNA                                                                      | 2752 |            1
   164 | ARROYO DEL CANAL                                                                    | 1649 |            1
   165 | ARROYO DEL PESCADO                                                                  | 1923 |            1
   166 | ARROYO DEL POBRE                                                                    | 1649 |            1
   167 | ARROYO DENTUDO                                                                      | 1649 |            1
   168 | ARROYO DESAGUADERO DE BORCHES                                                       | 1649 |            1
   169 | ARROYO DESAGUADERO DEL SAUCE                                                        | 1649 |            1
   170 | ARROYO DESENGAÑO                                                                    | 1649 |            1
   171 | ARROYO DIABLO                                                                       | 1649 |            1
   172 | ARROYO DOMINGUITO                                                                   | 1649 |            1
   173 | ARROYO DORADO                                                                       | 1649 |            1
   174 | ARROYO DOS PUNTAS                                                                   | 1649 |            1
   175 | ARROYO DULCE                                                                        | 2743 |            1
   176 | ARROYO DURAZNITO                                                                    | 1649 |            1
   177 | ARROYO DURAZNO                                                                      | 1649 |            1
   178 | ARROYO EDUARDO                                                                      | 1649 |            1
